player_name,matches,innings,total_runs,balls_faced,batting_average,strike_rate,fours,sixes,highest_score,centuries,fifties,balls_bowled,runs_conceded,wickets,bowling_average,economy_rate,bowling_strike_rate,four_wicket_hauls,five_wicket_hauls
B Indrajith,3.0,2.0,21.0,31.0,7.0,67.74193548387096,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Kumar,65.0,2.0,306.0,338.0,8.742857142857142,90.53254437869822,30.0,3.0,27.0,0.0,0.0,4060.0,4744.0,195.0,24.328205128205127,7.010837438423645,20.82051282051282,3.0,2.0
B Laughlin,4.0,2.0,5.0,13.0,2.5,38.46153846153847,0.0,0.0,4.0,0.0,0.0,179.0,271.0,10.0,27.1,9.083798882681565,17.9,0.0,0.0
B Lee,19.0,2.0,124.0,102.0,12.4,121.56862745098039,8.0,8.0,25.0,0.0,0.0,916.0,1042.0,30.0,34.733333333333334,6.825327510917031,30.533333333333335,0.0,0.0
B Sai Sudharsan,25.0,2.0,1034.0,770.0,47.0,134.28571428571428,95.0,32.0,103.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B Stanlake,1.0,1.0,5.0,2.0,0.0,250.0,1.0,0.0,5.0,0.0,0.0,150.0,194.0,7.0,27.714285714285715,7.76,21.428571428571427,0.0,0.0
B Sumanth,4.0,2.0,35.0,38.0,35.0,92.10526315789474,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA Bhatt,2.0,2.0,6.0,7.0,6.0,85.71428571428571,0.0,1.0,6.0,0.0,0.0,303.0,389.0,13.0,29.923076923076923,7.702970297029703,23.307692307692307,1.0,0.0
BA Stokes,43.0,2.0,935.0,718.0,24.605263157894736,130.22284122562675,81.0,32.0,107.0,2.0,2.0,723.0,956.0,31.0,30.838709677419356,7.933609958506224,23.322580645161292,0.0,0.0
BAW Mendis,3.0,2.0,3.0,6.0,1.5,50.0,0.0,0.0,2.0,0.0,0.0,248.0,295.0,9.0,32.77777777777778,7.137096774193548,27.555555555555557,0.0,0.0
BB McCullum,109.0,4.0,2882.0,2272.0,27.71153846153846,126.84859154929578,293.0,130.0,158.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Samantray,8.0,2.0,125.0,116.0,25.0,107.75862068965519,13.0,2.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BB Sran,7.0,2.0,10.0,14.0,10.0,71.42857142857143,0.0,0.0,3.0,0.0,0.0,516.0,718.0,20.0,35.9,8.348837209302326,25.8,0.0,0.0
BCJ Cutting,17.0,2.0,238.0,146.0,21.636363636363637,163.013698630137,15.0,19.0,39.0,0.0,0.0,288.0,422.0,12.0,35.166666666666664,8.791666666666666,24.0,0.0,0.0
BE Hendricks,2.0,1.0,1.0,3.0,1.0,33.33333333333333,0.0,0.0,1.0,0.0,0.0,157.0,224.0,11.0,20.363636363636363,8.560509554140127,14.272727272727273,0.0,0.0
BJ Haddin,1.0,1.0,18.0,11.0,18.0,163.63636363636365,2.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BJ Hodge,63.0,2.0,1400.0,1153.0,33.333333333333336,121.42237640936686,122.0,43.0,73.0,0.0,6.0,238.0,294.0,18.0,16.333333333333332,7.411764705882353,13.222222222222221,0.0,1.0
BJ Rohrer,8.0,3.0,193.0,146.0,27.571428571428573,132.1917808219178,21.0,5.0,64.0,0.0,1.0,7.0,11.0,0.0,0.0,9.428571428571429,0.0,0.0,0.0
BMAJ Mendis,3.0,2.0,23.0,27.0,7.666666666666667,85.18518518518519,0.0,0.0,12.0,0.0,0.0,30.0,36.0,1.0,36.0,7.2,30.0,0.0,0.0
BR Dunk,3.0,2.0,40.0,36.0,13.333333333333334,111.11111111111111,7.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BR Sharath,1.0,1.0,2.0,5.0,2.0,40.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basil Thampi,7.0,2.0,32.0,37.0,32.0,86.48648648648648,1.0,1.0,13.0,0.0,0.0,539.0,828.0,26.0,31.846153846153847,9.217068645640074,20.73076923076923,1.0,0.0
Bipul Sharma,17.0,2.0,187.0,124.0,23.375,150.80645161290323,11.0,9.0,35.0,0.0,0.0,436.0,557.0,22.0,25.318181818181817,7.6651376146788985,19.818181818181817,0.0,0.0
C Green,28.0,2.0,707.0,472.0,41.588235294117645,149.78813559322032,62.0,32.0,100.0,1.0,2.0,462.0,634.0,20.0,31.7,8.233766233766234,23.1,0.0,0.0
C Madan,1.0,1.0,15.0,21.0,15.0,71.42857142857143,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C Munro,11.0,2.0,177.0,144.0,14.75,122.91666666666667,19.0,8.0,40.0,0.0,0.0,12.0,15.0,0.0,0.0,7.5,0.0,0.0,0.0
C Nanda,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,55.0,2.0,27.5,6.6,25.0,0.0,0.0
C Sakariya,7.0,2.0,20.0,31.0,3.3333333333333335,64.51612903225806,3.0,0.0,7.0,0.0,0.0,460.0,563.0,20.0,28.15,7.343478260869564,23.0,0.0,0.0
C de Grandhomme,21.0,2.0,303.0,229.0,18.9375,132.31441048034935,18.0,18.0,40.0,0.0,0.0,230.0,301.0,7.0,43.0,7.852173913043478,32.857142857142854,0.0,0.0
CA Ingram,15.0,2.0,205.0,183.0,17.083333333333332,112.02185792349727,22.0,5.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA Lynn,42.0,2.0,1329.0,974.0,34.07692307692308,136.4476386036961,132.0,66.0,93.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA Pujara,22.0,2.0,390.0,403.0,20.526315789473685,96.7741935483871,50.0,4.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH Gayle,141.0,5.0,4997.0,3516.0,39.65873015873016,142.1217292377702,408.0,359.0,175.0,6.0,32.0,584.0,680.0,19.0,35.78947368421053,6.986301369863014,30.736842105263158,0.0,0.0
CH Morris,49.0,2.0,618.0,413.0,22.071428571428573,149.636803874092,41.0,35.0,82.0,0.0,2.0,1801.0,2220.0,107.0,20.747663551401867,7.395891171571349,16.83177570093458,3.0,1.0
CJ Anderson,29.0,2.0,538.0,436.0,24.454545454545453,123.39449541284404,40.0,31.0,95.0,0.0,3.0,315.0,497.0,14.0,35.5,9.466666666666667,22.5,0.0,0.0
CJ Ferguson,8.0,2.0,98.0,119.0,16.333333333333332,82.35294117647058,9.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJ Jordan,12.0,2.0,81.0,81.0,8.1,100.0,3.0,3.0,30.0,0.0,0.0,717.0,1033.0,36.0,28.694444444444443,8.644351464435147,19.916666666666668,1.0,0.0
CJ McKay,1.0,1.0,8.0,15.0,8.0,53.333333333333336,0.0,0.0,8.0,0.0,0.0,42.0,60.0,1.0,60.0,8.571428571428571,42.0,0.0,0.0
CK Kapugedera,3.0,2.0,16.0,24.0,5.333333333333333,66.66666666666666,0.0,0.0,8.0,0.0,0.0,17.0,49.0,0.0,0.0,17.294117647058822,0.0,0.0,0.0
CK Langeveldt,2.0,1.0,8.0,9.0,4.0,88.88888888888889,0.0,1.0,8.0,0.0,0.0,165.0,178.0,13.0,13.692307692307692,6.472727272727273,12.692307692307692,0.0,0.0
CL White,45.0,3.0,971.0,774.0,26.97222222222222,125.45219638242895,76.0,38.0,78.0,0.0,6.0,46.0,81.0,1.0,81.0,10.565217391304348,46.0,0.0,0.0
CM Gautam,13.0,2.0,169.0,158.0,16.9,106.9620253164557,17.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR Brathwaite,14.0,2.0,181.0,120.0,13.923076923076923,150.83333333333334,10.0,16.0,43.0,0.0,0.0,266.0,363.0,16.0,22.6875,8.18796992481203,16.625,0.0,0.0
CR Woakes,12.0,2.0,78.0,77.0,13.0,101.29870129870129,7.0,2.0,18.0,0.0,0.0,463.0,635.0,31.0,20.483870967741936,8.228941684665227,14.935483870967742,0.0,0.0
CRD Fernando,2.0,1.0,4.0,3.0,0.0,133.33333333333331,0.0,0.0,2.0,0.0,0.0,249.0,279.0,19.0,14.68421052631579,6.72289156626506,13.105263157894736,0.0,1.0
CV Varun,10.0,2.0,25.0,49.0,6.25,51.02040816326531,2.0,0.0,10.0,0.0,0.0,1624.0,1961.0,85.0,23.070588235294117,7.245073891625616,19.105882352941176,2.0,1.0
D Brevis,10.0,2.0,230.0,176.0,23.0,130.6818181818182,17.0,16.0,49.0,0.0,0.0,3.0,8.0,1.0,8.0,16.0,3.0,0.0,0.0
D Ferreira,2.0,2.0,8.0,11.0,4.0,72.72727272727273,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Kalyankrishna,1.0,1.0,3.0,8.0,3.0,37.5,0.0,0.0,3.0,0.0,0.0,50.0,85.0,2.0,42.5,10.2,25.0,0.0,0.0
D Padikkal,64.0,2.0,1559.0,1323.0,25.14516129032258,117.83824640967498,170.0,42.0,101.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D Pretorius,5.0,2.0,44.0,28.0,11.0,157.14285714285714,3.0,3.0,22.0,0.0,0.0,166.0,222.0,7.0,31.714285714285715,8.024096385542169,23.714285714285715,0.0,0.0
D Salunkhe,3.0,2.0,33.0,24.0,16.5,137.5,5.0,0.0,26.0,0.0,0.0,51.0,70.0,1.0,70.0,8.235294117647058,51.0,0.0,0.0
